,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street,narrative
0,2020-01-01,12,20-1,1,2020-01-01 00:36:00,,,2020-01-01 00:36:31,2020-01-01 01:12:39,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL ANTHONY M DUPRAT,34,BERKSHIRE DRIVE,Narrative: Unable license online to renew vehicle parked at the commons where operator is employed.
1,2020-01-01,99,20-2,1,2020-01-01 01:28:00,2020-01-01 01:29:45,,,2020-01-01 01:30:53,B.O.L.O.,Phone,SERVICES RENDERED,MICHAEL STRIZZI,"31, 34, 37k",N HOOSAC ROAD,"Narrative: Erratic from North Adams. opp Maroon vehicle VT plates. Traveling west on Mass Ave. Possibly bumper. no rear Narrative: Followed VT PC HNX623 to Vermont line from Bridges Rd, vehicle did have a rear bumper no erratic op or violations observed."
2,2020-01-01,171,20-3,1,2020-01-01 02:01:00,2020-01-01 02:03:32,2020-01-01 02:03:43,2020-01-01 02:06:22,2020-01-01 02:07:49,B.O.L.O.,Phone,UNABLE TO LOCATE,MICHAEL STRIZZI,"31, 34, 31",HALL STREET,Narrative: NAPD reports light colored SUV hit light a post in someones front lawn at BMJ State Rd in and is headed West into Williamstown. Narrative: 31 States negative contact with a large light color SUV. Narrative: Call back from states that the vehicle was white and should have rear driver side damage.
3,2020-01-01,251,20-4,1,2020-01-01 02:04:00,2020-01-01 02:08:30,2020-01-01 02:08:42,2020-01-01 02:09:22,2020-01-01 02:17:59,ALARM,911,ALARM FALSE,MICHAEL STRIZZI,"31, 34, 31",COLE AVENUE,Narrative: Activated Burglar Alarm Narrative: Key Holder Notified. Advised Dispatch that they have been having trouble with one of the zones. 31 advised need for key holder all is no ok. Narrative: Checked building. Front and rear secure. All appears in order. Key holder phone with dispatch and satisfied. was on
4,2020-01-01,332,20-6,2,2020-01-01 02:53:00,2020-01-01 02:55:37,,2020-01-01 03:00:56,2020-01-01 04:02:32,ASSIST OTHER AGENCY,911,SERVICES RENDERED,MICHAEL STRIZZI,"31, 34",LUCE ROAD,Narrative: Active Structure fire. 1 party still inside at this time. Narrative: Car 1 requesting to see if officer check the house an can aroud 0600 to make sure there are no signs of the fire reigniting. Narrative: House checked. Refer To Incident: 20-1-OF
5,2020-01-01,406,20-8,2,2020-01-01 04:12:00,,,2020-01-01 04:12:58,,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,SIMONDS ROAD,3
6,2020-01-01,429,20-10,2,2020-01-01 07:44:00,,,2020-01-01 07:45:15,2020-01-01 07:46:00,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD,Narrative: checked Narrative: done Narrative: done Narrative: Checked 2337 Narrative: Checked 0316
7,2020-01-01,464,20-11,2,2020-01-01 08:20:00,,,2020-01-01 08:21:06,2020-01-01 08:21:51,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HEMLOCK LANE,Narrative: checked Narrative: Checked
8,2020-01-01,488,20-12,3,2020-01-01 08:22:00,,,2020-01-01 08:22:35,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HARWOOD STREET,Narrative: checked Narrative: Checked
9,2020-01-01,512,20-13,3,2020-01-01 08:30:00,,,2020-01-01 08:30:26,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,NORTH STREET,Narrative: checked Narrative: done Narrative: Checked 0001
10,2020-01-01,539,20-14,3,2020-01-01 08:36:00,,,,2020-01-01 08:58:29,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,30,LONGVIEW TERRACE,"Narrative: One MV, speed: 21 Narrative: checked"
11,2020-01-01,568,20-15,3,2020-01-01 09:01:00,,,,2020-01-01 09:02:07,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,LONGVIEW TERRACE,Narrative: checked Narrative: Checked
12,2020-01-01,593,20-16,3,2020-01-01 09:02:00,,,2020-01-01 09:03:15,2020-01-01 09:03:44,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,DISPATCHER LAURIE TUPER,30,STRATTON ROAD,Narrative: checked Narrative: Checked
