,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street
0,2019-01-01,12,19-1,1,2019-01-01 03:41:00,,,2019-01-01 03:42:00,2019-01-01 03:42:17,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,NORTH STREET
1,2019-01-01,35,19-4,1,2019-01-01 08:34:00,,,,2019-01-01 08:35:33,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,COLD SPRING ROAD
2,2019-01-01,64,19-5,1,2019-01-01 08:42:00,,,,2019-01-01 08:43:21,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,LONGVIEW TERRACE
3,2019-01-01,90,19-6,1,2019-01-01 08:46:00,,,,2019-01-01 08:47:07,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,FRENIER AVENUE
4,2019-01-01,116,19-7,1,2019-01-01 08:47:00,,,,2019-01-01 08:48:05,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,HARWOOD STREET
5,2019-01-01,142,19-8,2,2019-01-01 08:59:00,,,,2019-01-01 09:00:14,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,N HOOSAC ROAD
6,2019-01-01,182,19-9,2,2019-01-01 09:03:00,,,,2019-01-01 09:03:42,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,HAWTHORNE ROAD
7,2019-01-01,208,19-10,2,2019-01-01 09:06:00,,,,2019-01-01 09:07:57,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,PETERSBURG ROAD
8,2019-01-01,236,19-11,2,2019-01-01 09:41:00,,,,2019-01-01 09:41:58,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,NORTH STREET
9,2019-01-01,264,19-12,2,2019-01-01 10:04:00,,,,2019-01-01 10:07:54,ROAD CONDITIONS,Initiated,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",34,SOUTHWORTH STREET
10,2019-01-01,289,19-13,3,2019-01-01 11:22:00,2019-01-01 11:24:04,,2019-01-01 11:28:48,2019-01-01 11:31:31,ROAD CONDITIONS,911,REMOVED HAZAR,DISPATCHER CHRISTINE LEMOINE,34,TACONIC TRAIL
11,2019-01-01,332,19-14,3,2019-01-01 11:34:00,,,,2019-01-01 11:35:30,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,COLD SPRING ROAD
12,2019-01-01,359,19-17,3,2019-01-01 11:50:00,,,2019-01-01 12:18:44,2019-01-01 12:18:50,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,CHIEF KYLE J JOHNSON,33,SIMONDS ROAD
13,2019-01-01,402,19-15,3,2019-01-01 12:01:00,,,2019-01-01 12:01:24,2019-01-01 12:11:28,MOTOR VEHICLE STOP,Initiated,CITATION,CHIEF KYLE J JOHNSON,33,ORCHARD LANE
14,2019-01-01,475,19-16,3,2019-01-01 12:05:00,,2019-01-01 12:07:56,2019-01-01 12:11:13,2019-01-01 12:30:38,PROPERTY DAMAGE,Phone,INVESTIGATED / REPORT,DISPATCHER CHRISTINE LEMOINE,,HENDERSON ROAD
15,2019-01-01,579,19-22,4,2019-01-01 15:27:00,2019-01-01 15:27:00,,2019-01-01 15:29:18,2019-01-01 15:46:09,MOTOR VEHICLE ACCIDENT,911,BUILDING CHECKED/SECURED,PATROL KALVIN DZIEDZIAK,"32, 38",WILLIAMSTOWN ROAD
16,2019-01-01,722,19-23,4,2019-01-01 16:03:00,,,,,TRAFFIC COMPLAINT,911,PATROL ADVISED,PATROL KALVIN DZIEDZIAK,,SIMONDS ROAD
17,2019-01-01,784,19-26,4,2019-01-01 17:33:00,,,2019-01-01 17:34:23,2019-01-01 17:34:30,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,38,MAIN STREET
18,2019-01-01,815,19-27,4,2019-01-01 17:38:00,,,,2019-01-01 17:43:32,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,NEW ASHFORD ROAD
19,2019-01-01,892,19-28,5,2019-01-01 17:54:00,,,2019-01-01 17:54:49,2019-01-01 18:02:25,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL JOHN J MCCONNELL JR,38,N HOOSAC ROAD
20,2019-01-01,971,19-32,5,2019-01-01 20:32:00,,,,,FOREST WARDEN DISPATCH,911,NO ACTION REQUIRED,PATROL KALVIN DZIEDZIAK,,HOPPER ROAD
21,2019-01-01,1099,19-33,5,2019-01-01 21:22:00,,,,2019-01-01 21:30:44,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL SHUAN N WILLIAM,32,GREEN RIVER ROAD
22,2019-01-01,1176,19-34,5,2019-01-01 21:44:00,,,,2019-01-01 21:49:02,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,COLD SPRING ROAD
23,2019-01-02,1251,19-39,6,2019-01-02 02:24:00,,,2019-01-02 02:26:58,2019-01-02 02:27:01,SUSPICIOUS MOTOR VEHICLE,Initiated,LOG ENTRY REQUEST,SERGEANT PAUL D THOMPSON,38,GRACE COURT
24,2019-01-02,1314,19-40,6,2019-01-02 03:57:00,,,,2019-01-02 03:57:43,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,NORTH STREET
25,2019-01-02,1337,19-41,6,2019-01-02 06:38:00,,,2019-01-02 06:40:04,2019-01-02 06:40:18,ROAD CONDITIONS,Initiated,SERVICES RENDERED,CHIEF KYLE J JOHNSON,33,COLD SPRING ROAD
26,2019-01-02,1368,19-42,6,2019-01-02 06:44:00,2019-01-02 06:47:25,2019-01-02 06:47:45,2019-01-02 06:50:26,2019-01-02 06:57:29,NOISE COMPLAINT,Phone,SERVICES RENDERED,PATROL ANTHONY M DUPRAT,37k,N HOOSAC ROAD
27,2019-01-02,1440,19-43,6,2019-01-02 07:20:00,2019-01-02 07:35:37,,2019-01-02 07:35:59,2019-01-02 07:45:06,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 36",COLD SPRING ROAD
28,2019-01-02,1469,19-44,6,2019-01-02 07:27:00,,,,2019-01-02 07:35:29,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL TANIA HERNANDEZ,36,HANCOCK ROAD
29,2019-01-02,1539,19-45,7,2019-01-02 07:46:00,2019-01-02 15:00:20,2019-01-02 15:01:19,2019-01-02 15:01:57,2019-01-02 15:15:39,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 32",GALE ROAD
30,2019-01-02,1565,19-47,7,2019-01-02 08:14:00,2019-01-02 13:26:02,2019-01-02 13:26:03,2019-01-02 13:26:53,2019-01-02 13:43:15,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 36, 36, 36, 34",COLE AVENUE
31,2019-01-02,1608,19-48,7,2019-01-02 08:19:00,,,2019-01-02 08:19:39,,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL TANIA HERNANDEZ,36,WILLIAMSTOWN ROAD
32,2019-01-02,1678,19-49,7,2019-01-02 08:38:00,,,2019-01-02 08:38:13,2019-01-02 08:45:38,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL TANIA HERNANDEZ,36,COLE AVENUE
33,2019-01-02,1746,19-50,7,2019-01-02 08:54:00,,,2019-01-02 08:55:54,2019-01-02 08:56:11,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,,FRENIER AVENUE
34,2019-01-02,1779,19-51,8,2019-01-02 08:56:00,,,,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HARWOOD STREET
35,2019-01-02,1803,19-52,8,2019-01-02 09:01:00,,,2019-01-02 09:01:41,2019-01-02 09:02:04,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,LONGVIEW TERRACE
36,2019-01-02,1828,19-55,8,2019-01-02 09:56:00,,,2019-01-02 09:56:36,2019-01-02 09:59:38,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,PARK STREET
37,2019-01-02,1856,19-56,8,2019-01-02 10:00:00,,,2019-01-02 10:00:30,2019-01-02 10:01:04,PARKING CHECK,Phone,PATROL ADVISED,PATROLMAN MICHAEL J ZIEMBA Jr,34,COLD SPRING ROAD
38,2019-01-02,1884,19-57,8,2019-01-02 10:01:00,,,,2019-01-02 10:10:15,PARKING CHECK,Initiated,PATROL ADVISED,PATROL TANIA HERNANDEZ,,SAND SPRINGS ROAD
39,2019-01-02,1906,19-58,9,2019-01-02 10:05:00,,,2019-01-02 10:05:17,2019-01-02 10:05:37,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,34,COLD SPRING ROAD
40,2019-01-02,1938,19-59,9,2019-01-02 10:06:00,,,2019-01-02 10:07:07,2019-01-02 10:27:16,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,34,COLD SPRING ROAD
41,2019-01-02,1965,19-60,9,2019-01-02 10:18:00,,,2019-01-02 10:18:59,2019-01-02 10:20:22,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,CHURCH STREET
42,2019-01-02,1994,19-61,9,2019-01-02 10:24:00,,,2019-01-02 10:25:26,2019-01-02 10:26:46,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD
43,2019-01-02,2033,19-62,9,2019-01-02 10:30:00,,,2019-01-02 10:30:55,2019-01-02 10:31:49,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,CHIEF KYLE J JOHNSON,36,N HOOSAC ROAD
44,2019-01-02,2061,19-63,10,2019-01-02 10:31:00,,,2019-01-02 10:31:24,2019-01-02 10:31:47,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,34,HAWTHORNE ROAD
45,2019-01-02,2090,19-64,10,2019-01-02 10:36:00,,,2019-01-02 10:36:32,2019-01-02 10:36:57,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,34,PETERSBURG ROAD
46,2019-01-02,2119,19-70,10,2019-01-02 15:07:00,,,2019-01-02 15:09:47,2019-01-02 15:18:15,PARKING CHECK,Initiated,SERVICES RENDERED,SERGEANT DAVID R LEMIEUX,31,SPRING STREET
47,2019-01-02,2143,19-71,10,2019-01-02 15:17:00,,,2019-01-02 15:17:38,,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,PARK STREET
48,2019-01-02,2169,19-72,10,2019-01-02 16:43:00,,,2019-01-02 16:44:08,2019-01-02 16:48:55,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,SCHOOL STREET
49,2019-01-02,2198,19-73,10,2019-01-02 17:19:00,2019-01-02 17:19:54,2019-01-02 17:22:21,2019-01-02 17:25:49,2019-01-02 17:42:16,MOTOR VEHICLE STOP,Initiated,INVESTIGATED / REPORT TAKEN,MICHAEL STRIZZI,"32, 31",BRIDGES ROAD
50,2019-01-02,2325,19-74,11,2019-01-02 18:04:00,,,2019-01-02 18:07:07,2019-01-02 18:12:19,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT DAVID R LEMIEUX,31,SIMONDS ROAD
51,2019-01-02,2353,19-75,11,2019-01-02 19:05:00,,,,2019-01-02 19:09:59,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL KEVIN P GARNER,34,COLD SPRING ROAD
52,2019-01-02,2416,19-77,11,2019-01-02 19:35:00,,,2019-01-02 19:36:33,2019-01-02 19:38:14,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT DAVID R LEMIEUX,31,MAIN STREET
53,2019-01-02,2449,19-76,11,2019-01-02 19:36:00,,,,2019-01-02 19:40:09,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL TANIA HERNANDEZ,34,HANCOCK ROAD
54,2019-01-02,2520,19-78,12,2019-01-02 19:40:00,,,2019-01-02 19:40:36,2019-01-02 19:51:14,MOTOR VEHICLE STOP,Initiated,CITATION,SERGEANT DAVID R LEMIEUX,31,BAXTER ROAD
55,2019-01-02,2591,19-79,12,2019-01-02 19:56:00,,,,2019-01-02 20:03:49,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL KEVIN P GARNER,34,COLD SPRING ROAD
56,2019-01-02,2659,19-81,12,2019-01-02 22:08:00,,,2019-01-02 22:08:57,2019-01-02 22:14:37,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL KEVIN P GARNER,34,WILLIAMSTOWN ROAD
57,2019-01-02,2730,19-82,12,2019-01-02 22:21:00,,,2019-01-02 22:22:03,2019-01-02 22:28:53,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL SHUAN N WILLIAM,32,BRIDGES ROAD
58,2019-01-03,2809,19-85,13,2019-01-03 03:49:00,,,2019-01-03 03:49:40,2019-01-03 03:49:47,PARKING CHECK,Initiated,SERVICES RENDERED,PATROLMAN SCOTT SKORUPSKI,32,NORTH STREET
59,2019-01-03,2831,19-86,13,2019-01-03 03:51:00,,,,2019-01-03 03:52:55,ROAD CONDITIONS,Initiated,SERVICES RENDERED,PATROLMAN SCOTT SKORUPSKI,32,NORTH STREET
60,2019-01-03,2866,19-87,13,2019-01-03 06:03:00,,,,,ASSIST OTHER AGENCY,911,TAKEN/REFERRED TO OTHER AGENCY,PATROL KALVIN DZIEDZIAK,,ADAMS ROAD
61,2019-01-03,2965,19-88,13,2019-01-03 07:17:00,2019-01-03 14:46:27,,2019-01-03 14:47:00,2019-01-03 14:47:04,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 36, 36, 36, 36",COLD SPRING ROAD
62,2019-01-03,3018,19-89,13,2019-01-03 07:41:00,2019-01-03 14:59:41,2019-01-03 14:59:48,2019-01-03 15:05:28,2019-01-03 15:19:16,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,"37k, 31",GALE ROAD
63,2019-01-03,3046,19-90,13,2019-01-03 07:55:00,,,,,SOLICITING,Phone,NO ACTION REQUIRED,"PATROL DAVID JENNINGS, D",,WILLIAMSTOWN ROAD
64,2019-01-03,3123,19-91,14,2019-01-03 20:19:00,,,2019-01-03 08:01:50,2019-01-03 08:03:25,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD
65,2019-01-03,3164,19-92,14,2019-01-03 20:19:00,,,2019-01-03 08:05:19,2019-01-03 08:05:39,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD
66,2019-01-03,3192,19-94,14,2019-01-03 08:07:00,,,,,ASSIST OTHER AGENCY,Other,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",,FIELD ROAD
67,2019-01-03,3245,19-93,14,,2019-01-03 14:58:10,2019-01-03 14:58:15,2019-01-03 08:09:01,2019-01-03 15:00:51,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 32",SOUTHWORTH STREET
68,2019-01-03,3281,19-95,14,2019-01-03 09:09:00,,,2019-01-03 09:09:18,2019-01-03 09:09:50,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,DISPATCHER LAURIE TUPER,36,LONGVIEW TERRACE
69,2019-01-03,3306,19-96,15,2019-01-03 09:12:00,,,2019-01-03 09:13:04,2019-01-03 09:13:44,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,FRENIER AVENUE
70,2019-01-03,3331,19-97,15,2019-01-03 09:14:00,,,2019-01-03 09:14:23,2019-01-03 09:14:58,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HARWOOD STREET
71,2019-01-03,3356,19-98,15,2019-01-03 09:18:00,,,2019-01-03 09:19:01,2019-01-03 09:25:41,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,SAND SPRINGS ROAD
72,2019-01-03,3379,19-99,15,2019-01-03 09:22:00,,,2019-01-03 09:22:56,2019-01-03 09:23:08,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
73,2019-01-03,3411,19-100,15,2019-01-03 09:27:00,,,,,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,PARK STREET
74,2019-01-03,3434,19-101,16,2019-01-03 09:28:00,,,2019-01-03 09:28:20,2019-01-03 09:28:32,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
75,2019-01-03,3469,19-102,16,2019-01-03 09:29:00,,,2019-01-03 09:30:10,2019-01-03 09:30:18,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
76,2019-01-03,3494,19-103,16,2019-01-03 09:35:00,,,2019-01-03 09:36:11,2019-01-03 09:37:27,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,CHURCH STREET
77,2019-01-03,3518,19-104,16,2019-01-03 09:42:00,,,2019-01-03 09:42:36,2019-01-03 09:43:18,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HAWTHORNE ROAD
78,2019-01-03,3545,19-105,16,2019-01-03 09:47:00,,,2019-01-03 09:47:47,2019-01-03 09:48:57,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,PETERSBURG ROAD
79,2019-01-03,3573,19-108,16,2019-01-03 10:30:00,2019-01-03 10:30:00,2019-01-03 10:30:14,2019-01-03 10:32:23,2019-01-03 11:16:04,WELL BEING CHECK,Walk-In,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",37k,N HOOSAC ROAD
80,2019-01-03,3653,19-107,17,2019-01-03 10:41:00,2019-01-03 10:42:55,2019-01-03 10:43:23,2019-01-03 10:47:12,2019-01-03 10:52:46,WELL BEING CHECK,Phone,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",36,MILL STREET
81,2019-01-03,3704,19-109,17,2019-01-03 13:33:00,2019-01-03 13:34:42,2019-01-03 13:35:45,2019-01-03 13:36:06,2019-01-03 13:41:09,TRAFFIC COMPLAINT,Radio,SERVICES RENDERED,"PATROL DAVID JENNINGS, D","36, 37k",MAIN STREET
82,2019-01-03,3784,19-110,17,2019-01-03 14:05:00,,,2019-01-03 14:07:09,2019-01-03 14:12:25,MOTOR VEHICLE ACCIDENT,Phone,INVESTIGATED / REPORT,"PATROL DAVID JENNINGS, D",37k,PARK STREET
83,2019-01-03,3845,19-111,17,2019-01-03 14:12:00,,,,2019-01-03 14:18:33,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL TANIA HERNANDEZ,36,COLD SPRING ROAD
84,2019-01-03,3916,19-112,18,2019-01-03 14:23:00,,,2019-01-03 14:23:42,2019-01-03 14:28:53,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL TANIA HERNANDEZ,36,COLD SPRING ROAD
85,2019-01-03,3987,19-113,18,2019-01-03 14:40:00,,,2019-01-03 14:40:44,2019-01-03 14:46:12,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL TANIA HERNANDEZ,36,COLD SPRING ROAD
86,2019-01-03,4058,19-114,18,2019-01-03 15:01:00,,,2019-01-03 15:01:34,2019-01-03 15:17:06,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,CHURCH STREET
87,2019-01-03,4081,19-115,18,2019-01-03 15:18:00,,,2019-01-03 15:18:51,2019-01-03 15:29:08,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,SPRING STREET
