,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street,narrative
0,2019-01-01,12,19-1,1,2019-01-01 03:41:00,,,2019-01-01 03:42:00,2019-01-01 03:42:17,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,NORTH STREET,7
1,2019-01-01,35,19-4,1,2019-01-01 08:34:00,,,,2019-01-01 08:35:33,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,COLD SPRING ROAD,Narrative: checked Narrative: done Narrative: Checked 0259
2,2019-01-01,64,19-5,1,2019-01-01 08:42:00,,,,2019-01-01 08:43:21,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,LONGVIEW TERRACE,Narrative: checked Narrative: Checked 0208
3,2019-01-01,90,19-6,1,2019-01-01 08:46:00,,,,2019-01-01 08:47:07,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,FRENIER AVENUE,Narrative: checked Narrative: Checked 0159
4,2019-01-01,116,19-7,1,2019-01-01 08:47:00,,,,2019-01-01 08:48:05,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,HARWOOD STREET,Narrative: checked Narrative: Checked 0201
5,2019-01-01,142,19-8,2,2019-01-01 08:59:00,,,,2019-01-01 09:00:14,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,N HOOSAC ROAD,Narrative: Checked Narrative: checked Narrative: checked Narrative: 01/02/2019 0236 Checked S3 Narrative: 01/02/2019 0501 Checked $3
6,2019-01-01,182,19-9,2,2019-01-01 09:03:00,,,,2019-01-01 09:03:42,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,HAWTHORNE ROAD,Narrative: done Narrative: Checked 0151
7,2019-01-01,208,19-10,2,2019-01-01 09:06:00,,,,2019-01-01 09:07:57,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,PETERSBURG ROAD,Narrative: done Narrative: 01/02/2019 0216 Checked S3
8,2019-01-01,236,19-11,2,2019-01-01 09:41:00,,,,2019-01-01 09:41:58,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,NORTH STREET,Narrative: checked Narrative: 01/02/2019 0305 Checked S3
9,2019-01-01,264,19-12,2,2019-01-01 10:04:00,,,,2019-01-01 10:07:54,ROAD CONDITIONS,Initiated,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",34,SOUTHWORTH STREET,Narrative: Removed tree debris.
10,2019-01-01,289,19-13,3,2019-01-01 11:22:00,2019-01-01 11:24:04,,2019-01-01 11:28:48,2019-01-01 11:31:31,ROAD CONDITIONS,911,REMOVED HAZAR,DISPATCHER CHRISTINE LEMOINE,34,TACONIC TRAIL,Narrative: Partial road blockage the downward lane about mile from on a the A-Frame Bakery. Tree across the road. Narrative: Removed.
11,2019-01-01,332,19-14,3,2019-01-01 11:34:00,,,,2019-01-01 11:35:30,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D",34,COLD SPRING ROAD,Narrative: done Narrative: Checked 0308
12,2019-01-01,359,19-17,3,2019-01-01 11:50:00,,,2019-01-01 12:18:44,2019-01-01 12:18:50,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,CHIEF KYLE J JOHNSON,33,SIMONDS ROAD,Narrative: Part of fence is down sidewalk. advised. on GC Narrative: On scene fixing fence. Narrative: checked Narrative: 01/02/2019 0239 Checked S3
13,2019-01-01,402,19-15,3,2019-01-01 12:01:00,,,2019-01-01 12:01:24,2019-01-01 12:11:28,MOTOR VEHICLE STOP,Initiated,CITATION,CHIEF KYLE J JOHNSON,33,ORCHARD LANE,M
14,2019-01-01,475,19-16,3,2019-01-01 12:05:00,,2019-01-01 12:07:56,2019-01-01 12:11:13,2019-01-01 12:30:38,PROPERTY DAMAGE,Phone,INVESTIGATED / REPORT,DISPATCHER CHRISTINE LEMOINE,,HENDERSON ROAD,Narrative: Mailbox and Post were ripped out of the ground and are gone. Narrative: at station to speak with Ofc. William about earlier mail box incident. Refer To Incident: 19-1-OF Refer To Accident: 19-2-AC
15,2019-01-01,579,19-22,4,2019-01-01 15:27:00,2019-01-01 15:27:00,,2019-01-01 15:29:18,2019-01-01 15:46:09,MOTOR VEHICLE ACCIDENT,911,BUILDING CHECKED/SECURED,PATROL KALVIN DZIEDZIAK,"32, 38",WILLIAMSTOWN ROAD,Narrative: MVA located at the rotary. 1535- Williams Inn asked to hold peter bus for three pan additional passengers. Refer To Accident: 19-1-AC
16,2019-01-01,722,19-23,4,2019-01-01 16:03:00,,,,,TRAFFIC COMPLAINT,911,PATROL ADVISED,PATROL KALVIN DZIEDZIAK,,SIMONDS ROAD,"Narrative: CP reports that a vehicle was tail-gating her and acting somewhat aggressively (waving hands, attempting to pass). Vehicle is no longer behind cp but said to have was continued southbound on Simonds road towards the rotary. Vehicle is said to be a navy blue Hyundai."
17,2019-01-01,784,19-26,4,2019-01-01 17:33:00,,,2019-01-01 17:34:23,2019-01-01 17:34:30,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,38,MAIN STREET,Narrative: 01/02/2019 0230 No activity Checked S3
18,2019-01-01,815,19-27,4,2019-01-01 17:38:00,,,,2019-01-01 17:43:32,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,NEW ASHFORD ROAD,M
19,2019-01-01,892,19-28,5,2019-01-01 17:54:00,,,2019-01-01 17:54:49,2019-01-01 18:02:25,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL JOHN J MCCONNELL JR,38,N HOOSAC ROAD,F
