call_number,vehicles_color,vehicles_year,vehicles_model,vehicles_vin
20-1,RED,2015,TOYT HIGHLA,STDJKRFH8FS119503
20-23,BLU,2003,NISS PATHFI,JNSDRO9Y63W819133
20-26,GRY,2017,,3NLAB7AP9HL693980
20-27,GRY,2015,BMW X5,SUXKROCSSFOP11755
20-28,BRO,2011,CHEV TRAVER,1IGNKVGEDOBJ298956
20-29,BLK,2016,VOLV Xc60 T5 Premier,YV4612RKXG2809153
20-30,GRY,2005,TOYT SCIOTC,JTKDE177650027277
20-30,GRY,2005,TOYT SCIOTC,JTKDE177650027277
20-31,RED,2012,VOLK ST JETTA,3VWML7AJ4CM641871
20-32,GRY,2008,TOYT SIENNA,5TDBK22C98S013344
20-34,RED,2017,BUIC ENCORE,KL4CJASB4HB252956
20-44,WHI,2018,HOND ODYSSE,SFNRL6H200B038466
20-73,BLU,2012,FORD SE FUSION,3FAHPOHASCR297999
20-74,BLU,2000,HOND SE CIVIC,LHGEJ8646YL059528
20-75,GRN,2013,SUBA FOREST,JF2SHADC5DH432846
20-76,BLK,2007,MAZD HB MZ3,JM1BK344071655457
20-83,RED,2013,FORD F150,LFTFWLEFSDFAG64391
20-100,GRY,2018,SUBA IMPREZ,4S3GTAD65J3749631
20-101,GRY,2019,TOYT LL RAV4,2T3P1RFV9KC035512
20-105,RED,2015,SUBA FOREST,JF2ZSTJADCSFHS70295
20-106,GRY,2006,TOYT SH CAMRY,4TIBF32K46U111302
20-109,BLK,2002,TOYT CO ECHO,JTDAT123%20252074
20-110,GRY,2015,SUBA XVCROS,JF2GPACC2FG218948
20-112,BLK,2012,BMW X39,5UXWX5C54CL724897
20-112,was,inspected,,
20-115,GRY,2008,SAA ST 95,YS3ED55G583511672
20-116,RED,2016,SUBA SE LEGACY,4S3BNAN6XG3010802
20-123,WHI,2015,NISS SE SENTRA,3NIAB7AP3FY256461
20-127,RED,2007,HOND U CRV,JHLRE48787C113238
20-128,BLK,2015,AUDIT 4D Q3 2.0t Prestige,WALGFCFS8FR001449
20-147,GRY,2007,FORD SE FOCUS,1FAHP34N47W293.212
20-153,BLK,2017,VOLK 4D JETTA,
20-154,SUBA,4D,,
20-157,BLK,2017,VOLK SE JETTA,3VWST7AJ3HM381555
20-162,WHI,2017,SUBA SE OUTBAC,4S4BSACCXH3411720
20-164,BLK,2018,FORD EXPLOR,1FMSK8D85JGB60281
20-165,WHI,2014,CHEV 4D CRZ,1G1PA5SG6E7350937
20-168,RED,2005,BUIC RAINIE,5GADT13S052199236
20-169,BLK,2020,INFI SE Q50,jnlev7ar51m251609
20-169,GRY,2020,JEEP U,
20-173,GRY,2011,TOYT SE COROLL,2T1BU4EE1BC734793
20-197,BLU,2019,SUBA LL CTK,JF2GTANC6K8361379
20-202,GRN,2000,TOYT TK,STBBT481XYS058056
20-204,WHI,2012,FIAT SE 5PP,3C3CFFAR5CT383893
20-204,RED,2018,VOLK SE JETTA,3VW2B7AJ80M243053
20-206,2017,FORD,4D FOC,1IFADP3K27HL272817
20-207,2019,NISS,SW,KNMAT2MT2KP534915
20-228,GRY,2016,JEEP Cherokee,1C4PJMCBXGW203260
20-240,RED,2015,GMC SIERRA,3GTU2ZTECSFG462657
20-242,BLU,2005,SUBA ST LEGACY,4S4BP62C257367538
20-244,GRY,2007,FORD ESCAPE,LFMYU93137KA03632
20-247,RED,2012,TOYT SE CAMRY,4T1BFIFK4CU621577
20-250,BLK,2013,NISS SE ALTIMA,LIN4AL3AP9DC230025
20-258,BLK,2018,HYUN 4D SON,SNPE24AF2JH714596
20-258,BLK,2018,HYUN 4D SON,SNPE24AF2JH714596
20-266,GRN,2004,TOYT SEQUOI,5TDBT44A145230501
20-285,GRY,2000,VOLK ST PASSAT,WVWND23B4YE140022
20-293,RED,2018,SUBA FOREST,JF2SJAUCS5JH529792
20-293,RED,2018,SUBA FOREST,JF2SJAUCS5JH529792
20-304,BLU,2007,DODG CALIBE,1B3HB48B57D159501
20-308,WHI,2032,TOYT PK TACCOMA,3TMLU4ENXCM082771
20-318,BLK,2006,PONT SE GRAPRI,2G2WP552X61293906
20-323,GRY,2009,KIA SE SPECTR,KNAFE222895027398
20-326,WHI,2016,HYUN SE ELANTR,SNPDH4AE4GH778133
20-327,BLK,2017,NISS ROGUE,KNMAT2MV2HP5386i8
20-328,BLK,2001,TOYT U 4RUNNE,JT3HN86R610349890
20-333,WHI,2018,FORD PK F-1SOXLT,1FTEWLEGSJFB48174
20-347,BLK,2013,GMC SIERRA,1GT423CG5DF230075
20-347,BLK,2013,GMC SIERRA,1GT423CG5DF230075
20-346,VIN:,1GT423CG5DF230075,BLK 2013 GMC PK SIERRA,1GT423CG5DF230075
20-351,SIL,2004,TOYT PK,5TEWN72NXK4Z416575
20-360,BLU,2012,TOYT SE PRIUS,JTDKN3DU4C1520547
20-362,GRY,2009,MAZD SE 3,JM1BK32F691233815
20-368,BLU,2006,TOYT TACOMA,STELU42N96Z224085
20-386,BLK,2011,NISS ROGUE,JNSASSMV5BW673839
20-397,GRY,2012,CHEV SE IMPALA,2G1WG5SE37C1334999
20-403,GRY,2011,AUDI SE A&4,WAUBFAFL7BN041422
20-411,SIL,2013,TOYT U FJ CRUISER,
20-413,BLK,2013,CHRY SE 200,i1C3CCBBB5DN695104
20-414,GRY,2018,TOYT HIGHLA,5TDUZRFH6IS531598
20-409,GRY,2006,TOYT SE CAMRY,4T1BA32K16U087233
20-410,BLU,2011,NISS U SENTRA,3NLAB6GAP9BL615264
20-410,BLU,2011,NISS U SENTRA,3NLAB6GAP9BL615264
20-416,BRO,2016,SUBA SW FORESTER,JF2SJAFC6GH403409
20-430,VIN:,YV4CZ982281419483,GRY 2008 VOLV XC90,YV4CZ982281419483
20-430,BLK,2012,HOND 4D,SFPYK1F55CB453467
20-451,BRO,2011,KIA SE FORTE,KNAFU4A26B5365114
20-451,BRO,2011,KIA SE FORTE,KNAFU4A26B5365114
20-475,GRY,2013,BMW X5 Xdrive35i,SUX2ZV4C53D0B17487
20-476,GRN,2002,VOLK CO CABRIO,3VWDC21V52M806363
20-476,GRN,2002,VOLK CO CABRIO,3VWDC21V52M806363
20-483,BRO,2001,GMC SONOMA,1GTCT19W518152814
20-485,GRY,2019,IN6AA1E56KN500340 NISS PK TITAN,
20-492,GRN,2005,"JEEP Li, WRANGLER",1034FA49535P353411
20-496,GRY,2010,MAZD HB,
20-514,GRY,2015,MERZ GLK350,WDCGG8JB2FG411824
20-514,GRY,2015,MERZ GLK350,WDCGG8JB2FG411824
20-516,BLU,2007,JEEP WRANGL,
20-517,GRY,2008,,3N1AB61828L713365
20-518,GRY,2012,HYUN SE ACCENT,KMHCT4AE7CU218421
20-519,GRY,2012,TOYT PRIUS,JTDKN3DUXC1546070
